Order_ID,Order_Date,Region,Segment,Product,Category,Quantity,Discount,Sales
ORD0009,2025-01-03,East,Consumer,Notebook,Office Supplies,2,0.0,500.0
ORD0036,2025-01-04,North,Corporate,Backpack,Office Supplies,1,0.0,1800.0
ORD0118,2025-01-05,West,Consumer,Headphones,Technology,4,0.1,9000.0
ORD0062,2025-01-06,South,Consumer,Printer,Technology,1,0.15,11900.0
ORD0053,2025-01-07,North,Home Office,Laptop,Technology,5,0.0,325000.0
ORD0101,2025-01-21,East,Consumer,Office Chair,Furniture,3,0.1,22950.0
ORD0013,2025-01-26,North,Corporate,Backpack,Office Supplies,1,0.15,1530.0
ORD0008,2025-01-27,North,Home Office,Backpack,Office Supplies,1,0.15,1530.0
ORD0031,2025-01-27,West,Consumer,Desk,Furniture,1,0.0,12000.0
ORD0105,2025-02-02,West,Consumer,Headphones,Technology,3,0.15,6375.0
ORD0117,2025-02-02,South,Home Office,Printer,Technology,3,0.15,35700.0
ORD0048,2025-02-06,North,Corporate,Desk,Furniture,1,0.1,10800.0
ORD0015,2025-02-08,South,Corporate,Printer,Technology,1,0.05,13300.0
ORD0047,2025-02-09,East,Consumer,Notebook,Office Supplies,1,0.15,212.5
ORD0059,2025-02-14,South,Consumer,Headphones,Technology,2,0.15,4250.0
ORD0077,2025-02-15,West,Corporate,Notebook,Office Supplies,1,0.15,212.5
ORD0079,2025-02-17,East,Consumer,Printer,Technology,3,0.0,42000.0
ORD0075,2025-02-24,East,Corporate,Smartphone,Technology,2,0.15,54400.0
ORD0040,2025-03-07,North,Consumer,Office Chair,Furniture,5,0.05,40375.0
ORD0045,2025-03-07,North,Home Office,Desk,Furniture,2,0.15,20400.0
ORD0029,2025-03-12,North,Corporate,Printer,Technology,4,0.0,56000.0
ORD0095,2025-03-18,North,Corporate,Printer,Technology,2,0.15,23800.0
ORD0072,2025-03-18,West,Home Office,Notebook,Office Supplies,1,0.0,250.0
ORD0044,2025-03-19,South,Home Office,Office Chair,Furniture,4,0.1,30600.0
ORD0112,2025-03-22,North,Consumer,Printer,Technology,5,0.15,59500.0
ORD0012,2025-03-29,North,Consumer,Backpack,Office Supplies,1,0.1,1620.0
ORD0026,2025-03-30,North,Corporate,Office Chair,Furniture,3,0.15,21675.0
ORD0093,2025-03-30,West,Corporate,Notebook,Office Supplies,4,0.15,850.0
ORD0030,2025-04-05,North,Consumer,Laptop,Technology,4,0.1,234000.0
ORD0063,2025-04-05,South,Consumer,Printer,Technology,1,0.1,12600.0
ORD0046,2025-04-08,North,Corporate,Backpack,Office Supplies,1,0.0,1800.0
ORD0094,2025-04-09,South,Corporate,Office Chair,Furniture,2,0.0,17000.0
ORD0011,2025-04-09,North,Corporate,Headphones,Technology,3,0.1,6750.0
ORD0074,2025-04-11,West,Home Office,Printer,Technology,1,0.1,12600.0
ORD0064,2025-04-12,West,Consumer,Headphones,Technology,3,0.05,7125.0
ORD0056,2025-04-17,East,Home Office,Backpack,Office Supplies,6,0.05,10260.0
ORD0100,2025-04-19,North,Consumer,Office Chair,Furniture,1,0.0,8500.0
ORD0085,2025-04-19,East,Corporate,Smartphone,Technology,2,0.15,54400.0
ORD0051,2025-04-21,South,Corporate,Office Chair,Furniture,5,0.1,38250.0
ORD0084,2025-04-24,South,Corporate,Backpack,Office Supplies,2,0.1,3240.0
ORD0061,2025-05-03,East,Corporate,Backpack,Office Supplies,4,0.05,6840.0
ORD0114,2025-05-03,South,Home Office,Office Chair,Furniture,5,0.0,42500.0
ORD0097,2025-05-07,West,Corporate,Printer,Technology,2,0.1,25200.0
ORD0115,2025-05-08,East,Corporate,Printer,Technology,3,0.1,37800.0
ORD0087,2025-05-08,North,Home Office,Laptop,Technology,3,0.0,195000.0
ORD0067,2025-05-15,North,Home Office,Laptop,Technology,6,0.0,390000.0
ORD0035,2025-05-15,South,Corporate,Desk,Furniture,3,0.1,32400.0
ORD0083,2025-05-15,East,Home Office,Office Chair,Furniture,5,0.15,36125.0
ORD0021,2025-05-16,South,Home Office,Headphones,Technology,3,0.0,7500.0
ORD0052,2025-05-19,East,Corporate,Smartphone,Technology,3,0.15,81600.0
ORD0038,2025-05-26,East,Consumer,Printer,Technology,1,0.1,12600.0
ORD0106,2025-05-27,North,Corporate,Headphones,Technology,3,0.05,7125.0
ORD0065,2025-05-30,North,Home Office,Printer,Technology,1,0.0,14000.0
ORD0055,2025-06-04,East,Consumer,Printer,Technology,2,0.15,23800.0
ORD0019,2025-06-09,South,Consumer,Desk,Furniture,6,0.15,61200.0
ORD0018,2025-06-11,West,Home Office,Laptop,Technology,2,0.15,110500.0
